uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"8e600e76-9d02-4179-8d52-6614e90a5b27","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL.NUT","B00000045117","2021-08-10T16:17Z","2021-08-10T16:17Z","Florida International University","Ortho - P",0.0149,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"7083d126-d925-4b12-a9b6-8433d7661699","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL.NUT","B00000045117","2021-08-10T16:17Z","2021-08-10T16:17Z","Florida International University","TDP",0.0269,"milligramsPerLiter","2022-01-21",,-1.0,,0,,"OK"
"0044349d-0d1e-489a-a0c9-da051faed9e6","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.RAW.NUT","B00000045118","2021-08-10T16:17Z","2021-08-10T16:17Z","Florida International University","TP",0.0296,"milligramsPerLiter","2021-11-09",,-1.0,,0,,"OK"
"90372937-f0e2-4b63-b3bc-4a5c5c887b74","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","HCO3",16.4200,"milligramsPerLiter",,,0.2,,0,,"OK"
"e8f48faa-781e-4814-bb10-db5f7474a618","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","CO3",0.0050,"milligramsPerLiter",,"BDL",0.2,,0,,"OK"
"e08158f5-71de-4744-a080-b702adf70abb","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","pH",6.9100,"pH",,,0.2,,0,,"OK"
"a345a15a-7fb0-4f25-acf6-67138c11a057","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.RAW","A00000299087","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","TSS",19.0000,"milligramsPerLiter",,,0.2,"TSS vol in ml = 100",0,,"OK"
"4f34887c-1422-406e-8e84-8e7a05dc0818","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0410,,,,0.2,,0,,"OK"
"e84ac3b9-9937-40e3-a0f8-a7a128eeed7b","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0301,,,,0.2,,0,,"OK"
"9af7bac2-c4ed-4e97-a101-00ab25402b97","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","TDN",0.0275,"milligramsPerLiter",,"BDL",0.2,,0,,"OK"
"332e1412-10d0-42a1-9d26-832d79c8a538","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","DIC",11.7200,"milligramsPerLiter",,,0.2,,0,,"OK"
"6f3e3307-2122-43e1-b962-1a6d55a7f9fb","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","DOC",1.6650,"milligramsPerLiter",,,0.2,,0,,"OK"
"91577021-d4e5-4f34-a34b-dbfcce3929a1","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.RAW","A00000299087","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","TOC",1.5300,"milligramsPerLiter",,,0.2,,0,,"OK"
"cd370698-32ec-4e22-b337-40bbdfc59987","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.RAW","A00000299087","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","TN",0.0541,"milligramsPerLiter",,,0.2,,0,,"OK"
"1cf3af71-6c2d-47c1-b951-bf1481b16b89","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","TDS",229.5000,"milligramsPerLiter",,,0.2,,0,,"OK"
"a35f314b-07b4-48bc-8093-0f682020ea98","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","F",0.6560,"milligramsPerLiter",,,0.2,,0,,"OK"
"21a3e6ac-8e59-4fb1-8c0f-07e45e21fbf4","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","Cl",39.1300,"milligramsPerLiter",,,0.2,,0,,"OK"
"bc8525fa-6a8c-4c0f-940e-9844a18d6367","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","SO4",14.4800,"milligramsPerLiter",,,0.2,,0,,"OK"
"f0aa6284-4a6e-483e-bfee-26317fdd81ca","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL","A00000299088","2021-08-10T16:17Z","2021-08-10T16:17Z","EcoCore_CSU","Br",0.0050,"milligramsPerLiter",,"BDL",0.2,,0,,"OK"
"a274a3fa-153b-4df8-b4a0-d72e18c9b659","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL.NUT","B00000045117","2021-08-10T16:17Z","2021-08-10T16:17Z","Florida International University","NO3+NO2 - N",0.0063,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"e4935eb9-31f9-49c4-b281-40db70af12fc","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL.NUT","B00000045117","2021-08-10T16:17Z","2021-08-10T16:17Z","Florida International University","NH4 - N",0.0055,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"7c9ad7b7-6b4b-44a2-b130-69e382d88f10","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210810.FIL.NUT","B00000045117","2021-08-10T16:17Z","2021-08-10T16:17Z","Florida International University","NO2 - N",0.0017,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"fcf8e1d8-6afc-485e-83d0-55a8caf89649","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","F",0.5103,"milligramsPerLiter",,,1.3,,0,,"OK"
"abbb4bce-eb16-426c-85d2-cd88effb5d7e","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","Cl",39.8200,"milligramsPerLiter",,,1.3,,0,,"OK"
"0d59aba2-92bf-4b30-9cff-301f8d75af67","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","SO4",14.9900,"milligramsPerLiter",,,1.3,,0,,"OK"
"a9bbc3ab-63e8-46ab-8710-c4ba67d8676a","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","Br",0.1107,"milligramsPerLiter",,,1.3,,0,,"OK"
"768a2cc2-4712-4412-8cdb-532e409e221d","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL.NUT","B00000045108","2021-08-30T16:41Z","2021-08-30T16:41Z","Florida International University","NO3+NO2 - N",0.0065,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"7b42c3e2-098d-4b36-a579-cc9572f40654","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL.NUT","B00000045108","2021-08-30T16:41Z","2021-08-30T16:41Z","Florida International University","TDP",0.0222,"milligramsPerLiter","2022-01-21",,-1.0,,0,,"OK"
"baad3ce3-a2ed-4f46-8d21-b487c1a5b58a","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL.NUT","B00000045108","2021-08-30T16:41Z","2021-08-30T16:41Z","Florida International University","Ortho - P",0.0121,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"33f5fb07-a929-43b3-9fa5-0e350cde9909","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL.NUT","B00000045108","2021-08-30T16:41Z","2021-08-30T16:41Z","Florida International University","NH4 - N",0.0043,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"260d7ce6-ac23-4054-8baf-ee1baca4df14","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL.NUT","B00000045108","2021-08-30T16:41Z","2021-08-30T16:41Z","Florida International University","NO2 - N",0.0017,"milligramsPerLiter","2022-01-14",,-1.0,,0,,"OK"
"7971f980-df74-436c-b9d9-1c315fe73968","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.RAW.NUT","B00000045109","2021-08-30T16:41Z","2021-08-30T16:41Z","Florida International University","TP",0.0266,"milligramsPerLiter","2021-11-12",,-1.0,,0,,"OK"
"be5ff085-5334-48de-ac14-ea6b4be8da56","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","CO3",0.0050,"milligramsPerLiter",,"BDL",1.3,,0,,"OK"
"758ee6d9-ffaf-47a9-9742-f109d90ab6aa","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","pH",7.1800,"pH",,,1.3,,0,,"OK"
"fbf53441-d57a-4331-97bd-ff7123b86ec0","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","HCO3",16.0200,"milligramsPerLiter",,,1.3,,0,,"OK"
"0d9a1cc4-c064-4797-940f-fe3b1e8aa3a1","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","TDS",317.6000,"milligramsPerLiter",,,1.3,,0,,"OK"
"3169706d-3429-4d37-b6fa-cec62dcba190","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.RAW","A00000298956","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","TSS",1.0000,"milligramsPerLiter",,,1.3,"TSS vol in ml = 100",0,,"OK"
"91d35275-56a4-42fb-b265-8c797a4c3601","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0398,,,,1.3,,0,,"OK"
"b9e4e313-887d-4571-bb5c-b3a8529f1d2a","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0316,,,,1.3,,0,,"OK"
"851e4b5d-d71c-491e-9d27-c47a4f5e1962","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","DIC",11.8900,"milligramsPerLiter",,,1.3,,0,,"OK"
"6e1cef26-3a34-45ce-92f8-35e17e83e187","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.RAW","A00000298956","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","TN",0.0291,"milligramsPerLiter",,"BDL",1.3,,0,,"OK"
"9d9d883c-cd22-422a-bbde-33bff6e22559","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.RAW","A00000298956","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","TOC",1.4570,"milligramsPerLiter",,,1.3,,0,,"OK"
"bee23449-f872-432c-9560-117ceb16942b","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","DOC",1.3280,"milligramsPerLiter",,,1.3,,0,,"OK"
"6f1208e8-0d72-4186-b1b3-65942bcd9201","D17","BIGC","BIGC.AOS.S2","BIGC.SS.20210830.FIL","A00000298987","2021-08-30T16:41Z","2021-08-30T16:41Z","EcoCore_CSU","TDN",0.0131,"milligramsPerLiter",,"BDL",1.3,,0,,"OK"
